seccion,proveedor_id,proveedor,total_repuestos,sin_descripcion,repuesto_mas_caro_id,repuesto_mas_caro_codigo,repuesto_mas_caro_precio,marca,promedio_precio_marca
marca,,,,,,,,RENO,4052.52
marca,,,,,,,,SADAR,68934.73
marca,,,,,,,,SKF,97759.77
marca,,,,,,,,STABILUS,26809.87
marca,,,,,,,,TRAXION,75308.96
,,,,,,,,,
proveedor,10,Bravo Repuestos,405.0,0.0,84054.0,47/48             ,99655.0,,
marca,,,,,,,,BAIML,18862.76
marca,,,,,,,,COELPLA,2953.65
marca,,,,,,,,CYLGEM,44310.5
marca,,,,,,,,METALGRAB,1313.0
marca,,,,,,,,SOLUTRONIC,10755.03
marca,,,,,,,,TRILER,18991.82
,,,,,,,,,
proveedor,11,Calle 51,,,,,,,
marca,,,,,,,,,
,,,,,,,,,
proveedor,12,Kilómetro 100,13855.0,0.0,96653.0,SP00000163,29279208.43,,
marca,,,,,,,,3M,41671.05
marca,,,,,,,,Adventure Termos,36493.74
marca,,,,,,,,Autopolish,5624.18
marca,,,,,,,,Bahco,96960.27
marca,,,,,,,,Bosch Accesorios,25249.48
marca,,,,,,,,Bosch Accesorios Línea Expert,24327.41
marca,,,,,,,,Bosch Autopartes,70975.75
marca,,,,,,,,Bosch Diesel,121112.11
marca,,,,,,,,Bosch Equipamiento,1913347.51
marca,,,,,,,,Bosch Herramientas,420088.1
marca,,,,,,,,Bosch Medición,267868.14
marca,,,,,,,,CMD,19742.37
marca,,,,,,,,Calorstat,24534.43
marca,,,,,,,,Candados 505,17790.23
marca,,,,,,,,Cofap,82781.59
marca,,,,,,,,Conarco,106272.54
marca,,,,,,,,Controil,415029.21
marca,,,,,,,,Doble A,4080.3
marca,,,,,,,,Dolz,104496.56
marca,,,,,,,,Dremel,24331.11
marca,,,,,,,,Driven,24442.94
marca,,,,,,,,Durbloc,35766.03
marca,,,,,,,,Einhell,209129.28
marca,,,,,,,,Energizer,10458.45
marca,,,,,,,,Esab,1044835.98
marca,,,,,,,,Escaleras Black + Decker,94531.91
marca,,,,,,,,Escaleras Stanley,163317.7
marca,,,,,,,,Ezeta,15843.23
marca,,,,,,,,Fischer,15983.32
marca,,,,,,,,Frasle,80006.92
marca,,,,,,,,Fremax,103129.59
marca,,,,,,,,Freplast,38590.13
marca,,,,,,,,Gulf,331866.95
marca,,,,,,,,Hescher,19085.07
marca,,,,,,,,Häfele,4253.79
marca,,,,,,,,Irimo,40483.64
marca,,,,,,,,KOBLA,44597.57
marca,,,,,,,,KWB Accesorios,18710.78
marca,,,,,,,,Karcher,472176.0
marca,,,,,,,,Ledvance,27444.93
marca,,,,,,,,Litens,361676.23
marca,,,,,,,,Loctite,138796.22
marca,,,,,,,,MH Conductores Eléctricos,175703.72
marca,,,,,,,,Mahle,39251.43
marca,,,,,,,,Mahle Baterías,199029.87
marca,,,,,,,,Mahle Equipamiento,4014399.62
marca,,,,,,,,Mahle Filtros,22086.5
marca,,,,,,,,Master,148308.59
marca,,,,,,,,Michelin,427953.29
marca,,,,,,,,Motos,23884.92
marca,,,,,,,,Nakata,63766.8
marca,,,,,,,,PERFECTO,9308.65
marca,,,,,,,,Penetrit,6182.4
marca,,,,,,,,Philips Automotive,35949.11
marca,,,,,,,,Philips Home,25789.06
marca,,,,,,,,Pitts,12344.82
marca,,,,,,,,Plas Chamois,15694.25
marca,,,,,,,,Rayovac,12792.43
marca,,,,,,,,Recumix,6207.32
marca,,,,,,,,STP Aditivos,9131.59
marca,,,,,,,,Schneider Electric,38699.21
marca,,,,,,,,Sica,13361.4
marca,,,,,,,,Skil,121407.26
marca,,,,,,,,Stanley,21584.44
marca,,,,,,,,Stanley Aspiradoras,77949.27
marca,,,,,,,,Stanley Cajas para Herramientas,72605.23
marca,,,,,,,,Stanley Compresores,257911.74
marca,,,,,,,,Stanley Compresores ,312175.48
marca,,,,,,,,Stanley Termos,72651.65
marca,,,,,,,,Steck,17781.05
marca,,,,,,,,Valvoline,264109.54
marca,,,,,,,,WD 40,218488.92
,,,,,,,,,
proveedor,13,Mundo RepCar,26353.0,0.0,128892.0,12429M,20471387.0,,
marca,,,,,,,,1441,50669.99
marca,,,,,,,,3M**(434),1552.0
marca,,,,,,,,AC DELCO (059)**,39384.33
marca,,,,,,,,AF*,12417.55
marca,,,,,,,,ALUMINIO,49058.78
marca,,,,,,,,AMT**(050),84405.39
marca,,,,,,,,ANAEROBICOS**(050),17255.83
marca,,,,,,,,AUTOLUBE (617),1799.97
marca,,,,,,,,AY,136205.5
marca,,,,,,,,BAIMIL (595),19865.98
marca,,,,,,,,BARI (617),11204.16
marca,,,,,,,,BOBINAS  (617),56947.57
marca,,,,,,,,BOSCH (617),23974.13
marca,,,,,,,,BRAMA(617),3060.25
marca,,,,,,,,BTE*(528),30377.22
marca,,,,,,,,BTS **,67269.5
marca,,,,,,,,C-LED,379.0
